date,dis,number,pm25,pm10,o3,no2,so2,co,tm,rh,ph
2013/8/13,SIHD,12,16.07264957,34.50292398,52.6625,12.88333333,9.654166667,0.424408333,31.6,60,0
2013/8/14,SIHD,9,13.87083333,30.29015544,55.125,12.95833333,8.920833333,0.4352375,31.8,60,0
2013/8/15,SIHD,6,16.15,35.08379888,72.85,14.725,7.925,0.460025,31.5,61,0
2013/8/16,SIHD,3,14.9,31.81097561,73.4625,13.55,6.9625,0.457620833,31.3,59,0
2013/8/17,SIHD,8,23.15416667,36.24183007,62.3,13.34166667,7.704166667,0.4664625,31.4,58,1
2013/8/18,SIHD,8,28.10833333,45.01875,31.8875,12.81666667,7.145833333,0.504833333,30.2,66,1
2013/8/19,SIHD,9,10.79425837,25.4025974,29.18333333,10.65238095,5.757142857,0.483952381,30.5,72,0
2013/8/20,SIHD,4,13.11363636,29.12658228,28.85714286,10.56363636,6.768181818,0.508145455,30.8,70,0
2013/8/21,SIHD,9,17.11009174,39.08823529,41.975,10.24545455,7.740909091,0.496409091,30,73,0
2013/8/22,SIHD,5,13.69852941,44.70434783,35.275,7.366666667,6.073333333,0.376693333,29.7,74,0
2013/8/23,SIHD,6,17.78074866,45.89171975,59.35,10.575,5.655,0.39303,30.9,65,0
2013/8/24,SIHD,5,28.06956522,51.25766871,101.3,18.06956522,11.36086957,0.541273913,31.5,61,1
2013/8/25,SIHD,14,50.98165138,65.28,77.225,25.8173913,13.36521739,0.791613043,28.2,78,1
2013/8/26,SIHD,6,32.22705314,51.08888889,55.34285714,24.2826087,8.934782609,0.6115,27.3,69,0
2013/8/27,SIHD,5,34.01877934,52.87951807,67.5125,17.41666667,7.979166667,0.608991667,27.7,70,0
2013/8/28,SIHD,10,32.91666667,46.3253012,95.35,17.65416667,9.7375,0.528183333,30.1,68,0
2013/8/29,SIHD,7,33.0212766,54.85964912,109.4375,31.09166667,11.60416667,0.5958625,31,66,0
2013/8/30,SIHD,9,61.31578947,83.83660131,102.2142857,22.39090909,11.76363636,0.858272727,29.1,69,0
2013/8/31,SIHD,16,19.36986301,37.81142857,72.87142857,16.44090909,9.590909091,0.484940909,25.7,57,1
2013/9/1,SIHD,13,16.17142857,35.4260355,74.85714286,17.8047619,9.623809524,0.493028571,25.3,54,1
2013/9/2,SIHD,5,18.57322176,38.84158416,80.075,18.2625,9.2,0.523845833,25.6,61,0
2013/9/3,SIHD,11,27.4,50.91237113,94.5125,16.3125,12.125,0.521079167,25.6,59,0
2013/9/4,SIHD,6,15.79583333,34.00510204,70.55,18.63333333,9.4,0.466008333,24.9,54,0
2013/9/5,SIHD,3,25.0375,42.78723404,54.2,24.44166667,10.07083333,0.4592625,23,76,0
2013/9/6,SIHD,9,20.62173913,28.9375,42.4625,32.45217391,8.5,0.537465217,21,87,0
2013/9/7,SIHD,1,38.83098592,50.16470588,57.88571429,36.77272727,11.08636364,0.62945,22.7,79,1
2013/9/8,SIHD,7,30.0201005,35.61832061,68.82,28.585,8.61,0.54993,24,81,1
2013/9/9,SIHD,10,36.48728814,51.49122807,97.7875,23.07083333,10.5375,0.50765,25.9,77,0
2013/9/10,SIHD,7,45.95890411,67.19512195,121.7714286,25.24090909,11.58181818,0.655586364,28.3,75,0
2013/9/11,SIHD,13,43.0952381,58.22516556,71.875,31.90416667,12.075,0.6372125,27.2,84,0
2013/9/12,SIHD,16,26.52195122,41.74257426,51.575,18.49130435,7.704347826,0.472030435,28.2,78,0
2013/9/13,SIHD,12,35.33502538,55.01923077,81.9625,29.39565217,10.5,0.559134783,27.4,83,0
